GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Poland,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	1	0	0	0	0
Portugal,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	1
Romania,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	3	2	1	1	2	0	0	0	0	0
Slovenia,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	1	1	0	0	0	0	0	0	0
Finland,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	1	0	0	0	0	0
Iceland,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	:	:	:	:	:	:	0	:	:	:
Norway,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Albania,Number,Males,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	1	:	0	1	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	5 e	6 e	5	4 e	4 e	2	6	5	3	0 e
European Union - 28 countries (2013-2020),Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	7 e	8 e	6	4 e	4 e	3	7	5	3	0 e
Belgium,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	1	0	0	0	0	0	0
Czechia,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	:	0	0	0	0
Denmark,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	1	1	0	0	0	1	1	0	0
Estonia,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Greece,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Spain,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	1	1	0	1	0	0	0	0	0
France,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	1	0	0	0	0	0	2	0	0
France (metropolitan),Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	1	0	0	0	0	0	2	0	0
Croatia,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Italy,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	1	0	:	:	0	0	1	1	0
Cyprus,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	:	:	:
Latvia,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	1	0	0	0	0	0	0	0	0
Lithuania,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	:	0	0	0	:	:
Hungary,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Malta,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Austria,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Poland,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	2	1	0	1	0	0	0	0
Portugal,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	0	0	1	1	1	1	0	0	0
Romania,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	1	1	1	2	0	3	0	1	0
Slovenia,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	:	0	0	0	:
Slovakia,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	:	0	:	0	0	:	0	0
Finland,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	1	0	1	0
United Kingdom,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	2	2	1	0	0	1	1	0	0	0
Iceland,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	0	:	:	0	:
Norway,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	1	0
North Macedonia,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	:	:	:	:	0	0	:	:	:
Albania,Number,Males,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	:	:	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	3,045 e	2,921 e	2,727	2,573 e	2,463 e	2,291	2,253	2,169	2,150	1,973 e
European Union - 28 countries (2013-2020),Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	3,403 e	3,303 e	3,083	2,918 e	2,802 e	2,619	2,632	2,488	2,426	2,279 e
Belgium,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	:	:	59	52	67	57	64	48	70	65
Bulgaria,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	98	100	83	105	91	81	76	72	61	82
Czechia,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	52	60	49	41	34	42	49	39	41	51
Denmark,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	33	31	43	28	28	24	29	32	16	:
Germany (until 1990 former territory of the FRG),Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	454	358	381	329	338	302	301	284	313	261
Estonia,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	12	18	14	8	10	11	12	0	0	14
Ireland,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	45	30	26	28	26	20	31	30	33	27
Greece,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	41	53	39	54	41	25	45	41	48	42
Spain,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	219	222	245	204	223	197	204	182	223	191
France,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	469	432	436	419	376	363	360	364	352	311
France (metropolitan),Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	433	405	407	386	333	334	337	331	322	270
Croatia,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	40	33	25	32	24	22	22	23	23	18
Italy,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	245	243	208	:	:	206	197	205	192	180
Cyprus,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	4	7	2	0	5	0	0	0	0	0
Latvia,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	34	37	30	26	20	22	22	20	22	15
Lithuania,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	55	47	35	32	36	26	24	27	18	20
Luxembourg,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	76	79	67	66	73	67	60	50	44	40
Malta,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	126	125	115	108	102	96	84	78	76	75
Austria,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	41	39	48	30	34	42	31	35	32	33
Poland,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	281	272	237	214	212	214	212	223	172	176
Portugal,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	99	100	69	86	65	68	48	50	53	34
Romania,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	413	430	379	357	316	302	272	244	230	226
Slovenia,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	4	12	10	12	0	0	10	0	0	0
Slovakia,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	63	38	44	54	40	44	39	40	44	31
Finland,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	19	24	33	33	36	12	26	26	13	20
Sweden,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	35	46	48	35	46	34	29	29	54	36
United Kingdom,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	358	382	356	345	339	328	379	319	276	306
Iceland,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	33	36	29	34	27	0	17	23	19	14
Switzerland,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	52	44	30	39	35	29	23	23	21	21
North Macedonia,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	24	18	26	18	22	18	13	18	21	6
Albania,Number,Males,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	132	168	168	132	:	:	:	:	:	35
European Union - 27 countries (from 2020),Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	163 e	155 e	152	127 e	147 e	142	108	118	124	115 e
European Union - 28 countries (2013-2020),Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	199 e	195 e	182	155 e	181 e	170	144	154	161	137 e
Belgium,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	:	:	8	3	5	6	11	0	6	4
Bulgaria,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	9	7	7	7	6	5	3	6	3	9
Czechia,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	2	0	0	0	1	2	1	3	1
Denmark,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	5	4	3	3	0	1	1	4	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	27	17	22	16	23	26	16	17	8	16
Estonia,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	1
Ireland,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	2	2	3	4	1	0	1	0	3	1
Greece,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	1	0	1	1	2	0	0	3	1
Spain,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	14	13	12	13	18	11	14	14	14	9
France,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	23	19	33	27	19	19	21	20	25	16
France (metropolitan),Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	20	16	29	25	15	17	20	20	22	13
Croatia,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	4	0	1	0	0	0	2	1	2
Italy,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	6	6	6	:	:	14	8	5	12	7
Cyprus,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	:	:	:	0	0	0	0	0	0	0
Latvia,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	3	4	1	3	4	1	3	2	2
Lithuania,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	2	3	1	2	6	0	1	2	1	3
Luxembourg,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	4	0	5	3	3	2	5	0	3
Malta,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	13	13	8	7	3	6	4	8	4	2
Austria,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	1	5	3	3	1	0	0	3	6
Poland,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	16	14	13	6	13	15	10	15	17	16
Portugal,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	6	9	3	5	6	6	4	3	4	2
Romania,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	14	18	20	12	21	17	6	6	11	8
Slovenia,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	1	1	0	0	0	0	0	0	0
Slovakia,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	1	2	1	3	1	0	3	0	1
Finland,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	2	1	3	3	2	0	2	0	2
Sweden,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	1	2	0	1	3	2	3	1	3	3
United Kingdom,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	36	40	30	28	34	28	36	36	37	22
Iceland,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	:
Norway,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	3	1	2	0	2	0	0	1	1	3
Switzerland,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	5	4	0	3	2	2	0	1	0	0
North Macedonia,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	6	2	2	1	0	0	2	1	0	0
Albania,Number,Males,From 1 to 4 years,Certain infectious and parasitic diseases (A00-B99)	8	4	2	1	:	:	:	:	:	1
European Union - 27 countries (from 2020),Number,Males,From 1 to 4 years,Tuberculosis	4 e	5 e	7	4 e	8 e	2	1	1	3	3 e
European Union - 28 countries (2013-2020),Number,Males,From 1 to 4 years,Tuberculosis	4 e	5 e	7	4 e	9 e	3	2	1	3	3 e
Belgium,Number,Males,From 1 to 4 years,Tuberculosis	:	:	0	0	1	0	0	0	0	0
Bulgaria,Number,Males,From 1 to 4 years,Tuberculosis	0	0	1	0	1	0	0	0	0	0
Czechia,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 1 to 4 years,Tuberculosis	1	0	1	0	0	0	0	0	0	0
Estonia,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	1	0	0	0	1
France,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
France (metropolitan),Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Croatia,Number,Males,From 1 to 4 years,Tuberculosis	0	1	0	0	0	0	0	0	0	0
Italy,Number,Males,From 1 to 4 years,Tuberculosis	1	0	1	:	:	0	1	0	0	0
Cyprus,Number,Males,From 1 to 4 years,Tuberculosis	:	:	:	0	0	0	0	0	:	0
Latvia,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	1	0	0	0	0	0
Luxembourg,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	:	0	0	0	:	:	0
Hungary,Number,Males,From 1 to 4 years,Tuberculosis	0	1	0	0	0	0	0	0	0	0
Malta,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Males,From 1 to 4 years,Tuberculosis	2	3	4	3	3	1	0	1	3	2
Slovenia,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	1	0	0	0	0	0
Finland,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	1	1	1	0	0	0
Iceland,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	:	0	:	:	0	:
Norway,Number,Males,From 1 to 4 years,Tuberculosis	1	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Males,From 1 to 4 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Albania,Number,Males,From 1 to 4 years,Tuberculosis	0	0	1	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	1 e	2 e	2	3 e	2 e	3	1	1	0	0 e
European Union - 28 countries (2013-2020),Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	1 e	2 e	2	3 e	2 e	4	1	1	1	0 e
Belgium,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	1	0	0	0	1	0	0
Czechia,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Estonia,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	:	0	0	0	0	0	0	0	0
Ireland,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
France,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
France (metropolitan),Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Croatia,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	:	:	0	0	0	0	0
Cyprus,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	:	0	0	0	:	0	0
Latvia,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	:	0	0	0	:	0	:	0	0
Hungary,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	1	0	0	0	0	0	0
Malta,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Netherlands,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	1	0	0	0	0	0
Romania,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	1	2	1	1	1	3	0	0	0	0
Slovenia,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	1	0	0	0
United Kingdom,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	1	0	0	1	0
Iceland,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	:	:	:	0	:	:	:
Norway,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	0	0	0	:
Albania,Number,Males,From 1 to 4 years,Viral hepatitis and sequelae of viral hepatitis	3	:	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	3 e	2 e	4	0 e	2 e	2	2	0	3	0 e
European Union - 28 countries (2013-2020),Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	3 e	2 e	4	0 e	2 e	2	2	2	3	0 e
Belgium,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	1	0	0	0	0	0	0	0	0
Czechia,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	:	0	0	0	0
Denmark,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	2	0	0	0	0
Estonia,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Greece,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Spain,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	1	0	0	0	0	0
France,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	2	3	0	0	0	1	0	2	0
France (metropolitan),Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	1	1	0	0	0	0	0	1	0
Croatia,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Italy,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	0	0	:	:	0	0	0	0	0
Cyprus,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	:	:	:
Latvia,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	:	0	0	0	:	:
Hungary,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Malta,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Austria,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Poland,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	1	0	0	0	0	0
Romania,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	1	0	0	0	1	0	1	0
Slovenia,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	:	0	0	0	:
Slovakia,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	:	0	:	0	0	:	0	0
Finland,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	2	0	0
Iceland,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	0	:	:	0	:
Norway,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	:	0	0	:	:	:
