GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Switzerland,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	650	627	675	595	574	623	639	677	676	714
North Macedonia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	149	137	145	125	100	91	92	81	53	62
Albania,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	89	94	93	97	:	:	:	:	:	33
European Union - 27 countries (from 2020),Number,Total,Total,Tuberculosis	8,671 e	8,255 e	8,059	7,390 e	7,062 e	6,474	6,342	6,058	5,773	5,235 e
European Union - 28 countries (2013-2020),Number,Total,Total,Tuberculosis	9,165 e	8,758 e	8,568	7,837 e	7,514 e	6,950	6,728	6,491	6,171	5,599 e
Belgium,Number,Total,Total,Tuberculosis	:	:	92	72	88	59	84	76	58	57
Bulgaria,Number,Total,Total,Tuberculosis	299	287	276	269	274	270	275	231	197	198
Czechia,Number,Total,Total,Tuberculosis	94	83	81	69	69	61	70	53	51	39
Denmark,Number,Total,Total,Tuberculosis	38	35	26	38	26	21	25	16	26	:
Germany (until 1990 former territory of the FRG),Number,Total,Total,Tuberculosis	536	507	512	441	450	433	446	363	345	350
Estonia,Number,Total,Total,Tuberculosis	99	88	95	100	51	67	63	55	49	41
Ireland,Number,Total,Total,Tuberculosis	32	41	37	40	25	41	53	32	37	36
Greece,Number,Total,Total,Tuberculosis	105	86	107	75	89	81	95	80	87	71
Spain,Number,Total,Total,Tuberculosis	490	491	473	445	475	396	409	349	394	392
France,Number,Total,Total,Tuberculosis	1,061	969	959	837	861	743	682	653	639	604
France (metropolitan),Number,Total,Total,Tuberculosis	1,049	947	942	824	850	727	667	642	633	583
Croatia,Number,Total,Total,Tuberculosis	145	181	160	161	116	142	100	101	120	82
Italy,Number,Total,Total,Tuberculosis	439	451	498	:	:	407	394	390	408	373
Cyprus,Number,Total,Total,Tuberculosis	:	:	:	3	4	2	1	1	:	1
Latvia,Number,Total,Total,Tuberculosis	281	210	221	183	183	182	144	114	104	85
Lithuania,Number,Total,Total,Tuberculosis	353	338	340	309	367	369	352	347	266	222
Luxembourg,Number,Total,Total,Tuberculosis	5	3	2	:	1	1	2	:	:	1
Hungary,Number,Total,Total,Tuberculosis	377	325	300	300	256	188	220	194	170	154
Malta,Number,Total,Total,Tuberculosis	1	3	1	1	1	1	6	1	1	1
Netherlands,Number,Total,Total,Tuberculosis	87	72	72	78	70	76	54	51	62	54
Austria,Number,Total,Total,Tuberculosis	56	66	45	45	54	56	47	49	47	38
Poland,Number,Total,Total,Tuberculosis	1,061	940	943	850	834	759	775	827	758	586
Portugal,Number,Total,Total,Tuberculosis	344	345	349	306	286	226	258	237	251	205
Romania,Number,Total,Total,Tuberculosis	2,387	2,339	2,237	2,089	1,784	1,704	1,606	1,639	1,523	1,482
Slovenia,Number,Total,Total,Tuberculosis	26	22	28	12	18	18	29	35	25	20
Slovakia,Number,Total,Total,Tuberculosis	57	64	66	52	47	47	35	42	42	35
Finland,Number,Total,Total,Tuberculosis	97	97	82	68	77	60	56	60	54	48
Sweden,Number,Total,Total,Tuberculosis	86	96	57	49	58	64	61	62	59	34
United Kingdom,Number,Total,Total,Tuberculosis	494	503	509	447	452	476	386	433	398	364
Iceland,Number,Total,Total,Tuberculosis	3	3	6	3	2	2	5	1	7	:
Norway,Number,Total,Total,Tuberculosis	50	33	52	44	42	38	34	25	27	27
Switzerland,Number,Total,Total,Tuberculosis	36	33	27	28	29	33	28	33	26	27
North Macedonia,Number,Total,Total,Tuberculosis	86	71	78	57	63	60	55	45	18	32
Albania,Number,Total,Total,Tuberculosis	15	14	13	18	:	:	:	:	:	3
European Union - 27 countries (from 2020),Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	5,447 e	6,162 e	6,629	6,526 e	6,525 e	6,417	6,463	6,641	6,840	6,729 e
European Union - 28 countries (2013-2020),Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	5,652 e	6,351 e	6,861	6,744 e	6,746 e	6,648	6,712	6,885	7,122	6,982 e
Belgium,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	:	:	124	133	113	117	109	124	118	99
Bulgaria,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	65	41	34	41	58	51	36	38	36	33
Czechia,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	17	14	17	18	24	17	26	41	35	29
Denmark,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	21	22	23	31	22	24	18	26	27	:
Germany (until 1990 former territory of the FRG),Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	1,170	1,227	1,243	1,156	1,064	1,058	950	952	1,115	1,107
Estonia,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	3	1	6	4	2	9	7	6	15	2
Ireland,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	14	14	9	13	13	18	11	20	21	27
Greece,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	61	79	88	89	98	93	75	92	81	75
Spain,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	924	962	1,046	1,114	1,067	1,010	995	908	1,067	934
France,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	910	877	735	741	785	742	725	821	686	665
France (metropolitan),Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	892	861	720	725	761	731	713	795	672	650
Croatia,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	15	18	19	40	42	41	53	30	31	44
Italy,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	1,499	1,948	2,305	:	:	2,413	2,598	2,685	2,671	2,766
Cyprus,Number,Total,Total,Viral hepatitis and sequelae of viral hepatitis	:	:	:	3	4	2	1	:	3	2
